"","","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Uganda"," 2016","16.3","18.3","14.2"
"Ukraine"," 2016","25.5","21.5","28.9"
"United Arab Emirates"," 2016","10.9","12.8","4.8"
"United Kingdom of Great Britain and Northern Ireland"," 2016","15.6","10.4","20.6"
"United Republic of Tanzania"," 2016","16.5","18.6","14.4"
"United States of America"," 2016","19.2","12.6","25.5"
"Uruguay"," 2016","25.1","16","33.5"
"Uzbekistan"," 2016","25.4","31.4","19.7"
"Vanuatu"," 2016","18.8","25.5","12.2"
"Venezuela (Bolivarian Republic of)"," 2016","34.8","33.3","36.3"
"Viet Nam"," 2016","24.7","25.9","23.7"
"Yemen"," 2016","0.3","0.4","0.1"
"Zambia"," 2016","14","17.6","10.5"
"Zimbabwe"," 2016","11.4","15.9","7.2"
